"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",TIME,""Value"",""Flag Codes"""
"FRA,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2005"",,""M"""
"FRA,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2010"",,""M"""
"FRA,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2011"",,""M"""
"FRA,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2012"",,""M"""
"FRA,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2013"",122.271,"
"FRA,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2014"",122.436,"
"FRA,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2015"",121.416,"
"FRA,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2016"",121.818,"
"FRA,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2005"",,""M"""
"FRA,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2010"",,""M"""
"FRA,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2011"",,""M"""
"FRA,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2012"",,""M"""
"FRA,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2013"",132.848,"
"FRA,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2014"",138.303,"
"FRA,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2015"",134.653,"
"FRA,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2016"",134.626,"
"DEU,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2005"",,""M"""
"DEU,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2010"",,""M"""
"DEU,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2011"",,""M"""
"DEU,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2012"",,""M"""
"DEU,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2013"",93.151,"
"DEU,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2014"",89.558,"
